NLI 'Étudiant s'inscrire' ↔ 'Étudiant soumettre demande d'internat' = entail1=0.922, entail2=0.982, → max=0.982
NLI 'Système bloquer utilisateur' ↔ 'Système bloquer utilisateurs négatifs' = entail1=0.001, entail2=0.998, → max=0.998
NLI 'Système analyser sentiment commentaire' ↔ 'Système masquer commentaire inapproprié' = entail1=0.003, entail2=0.022, → max=0.022
NLI 'Système masquer commentaire inapproprié' ↔ 'Système classer commentaires' = entail1=0.997, entail2=0.006, → max=0.997
NLI 'Utilisateur signaler commentaire inapproprié' ↔ 'Système masquer commentaire inapproprié' = entail1=0.943, entail2=0.544, → max=0.943
NLI 'Utilisateur récupérer mot de passe' ↔ 'Utilisateur rechercher utilisateur' = entail1=0.025, entail2=0.045, → max=0.045
NLI 'Système masquer commentaire inapproprié' ↔ 'Système cacher commentaires inappropriés' = entail1=0.999, entail2=0.999, → max=0.999
NLI 'Utilisateur récupérer mot de passe' ↔ 'Recruteur répondre à reclamation' = entail1=0.355, entail2=0.046, → max=0.355
NLI 'Utilisateur récupérer mot de passe' ↔ 'Utilisateur recevoir SMS de récupération mot de passe' = entail1=0.002, entail2=0.999, → max=0.999
NLI 'Utilisateur récupérer mot de passe' ↔ 'Utilisateur rechercher utilisateur dynamiquement' = entail1=0.051, entail2=0.010, → max=0.051
NLI 'Admin répondre à réclamation' ↔ 'Administrateur gérer reclamations' = entail1=0.999, entail2=0.999, → max=0.999
NLI 'Admin répondre à réclamation' ↔ 'Recruteur répondre à reclamation' = entail1=0.077, entail2=0.126, → max=0.126
NLI 'Utilisateur rechercher utilisateur' ↔ 'Recruteur répondre à reclamation' = entail1=0.152, entail2=0.017, → max=0.152
NLI 'Administrateur gérer reclamations' ↔ 'Recruteur répondre à reclamation' = entail1=0.988, entail2=0.905, → max=0.988
NLI 'Utilisateur rechercher utilisateur' ↔ 'Utilisateur rechercher utilisateur dynamiquement' = entail1=0.012, entail2=0.999, → max=0.999
NLI 'Administrateur gérer reclamations' ↔ 'Administrateur voir dashboard reclamations' = entail1=0.342, entail2=0.998, → max=0.998
NLI 'Utilisateur recevoir SMS de récupération mot de passe' ↔ 'Utilisateur recevoir email de vérifications' = entail1=0.001, entail2=0.002, → max=0.002
NLI 'Document être numérisé' ↔ 'Étudiant signer document électroniquement' = entail1=0.038, entail2=0.997, → max=0.997
